Date,Open,High,Low,Close,Adj Close,Volume
2019-05-09,54400.000000,54679.949219,54000.000000,54431.199219,54050.324219,7410
2019-05-10,54600.000000,54798.949219,53751.601563,53947.351563,53569.859375,5090
2019-05-13,53997.000000,53997.898438,52927.898438,53071.750000,52700.386719,2913
2019-05-14,53140.000000,53499.000000,52850.000000,53289.851563,52916.960938,3264
2019-05-15,53590.000000,53799.000000,53200.050781,53559.300781,53184.531250,7314
2019-05-16,53849.000000,53970.000000,53100.000000,53692.398438,53316.691406,5128
2019-05-17,53749.898438,54750.000000,53401.648438,54369.699219,53989.257813,5326
2019-05-20,54889.699219,55149.949219,54232.000000,54761.300781,54378.117188,9203
2019-05-21,55000.000000,55150.000000,54415.000000,54772.101563,54388.843750,5597
2019-05-22,54999.000000,55250.000000,54500.050781,55123.851563,54738.132813,4630
2019-05-23,55523.000000,56098.199219,54500.000000,54818.300781,54434.718750,9450
2019-05-24,55200.000000,57464.800781,55000.000000,57009.300781,56610.382813,8395
2019-05-27,57300.000000,57928.050781,56677.500000,56862.648438,56464.761719,6040
2019-05-28,57148.949219,57250.000000,56255.050781,56416.699219,56021.925781,4862
2019-05-29,56600.000000,56890.000000,55701.000000,55916.699219,55525.429688,4761
2019-05-30,56250.000000,56250.000000,55025.000000,55185.250000,54799.101563,4519
2019-05-31,55299.101563,55676.699219,54525.000000,55265.101563,54878.382813,6656
2019-06-03,55403.250000,56431.949219,55390.000000,56002.449219,55610.578125,6624
2019-06-04,56026.000000,57600.000000,56025.000000,57382.449219,56980.921875,11498
2019-06-06,57599.949219,57741.050781,55510.601563,55805.800781,55415.300781,7419
2019-06-07,55950.000000,56441.300781,55112.000000,55597.500000,55208.460938,6447
2019-06-10,55949.000000,56000.000000,55100.000000,55594.550781,55205.535156,4118
2019-06-11,55800.000000,56299.898438,55501.000000,56197.050781,55803.816406,3948
2019-06-12,56270.000000,56270.000000,55417.300781,55709.500000,55319.683594,4485
2019-06-13,55999.000000,55999.000000,54251.000000,54770.949219,54387.699219,6714
2019-06-14,54651.000000,55144.000000,54383.800781,54704.750000,54321.957031,3387
2019-06-17,54950.000000,55300.000000,54148.851563,54724.699219,54341.777344,5755
2019-06-18,54555.000000,54950.000000,54123.800781,54619.800781,54237.609375,4368
2019-06-19,54700.000000,54931.800781,54326.000000,54495.800781,54114.476563,6317
2019-06-20,54599.949219,55000.000000,54114.898438,54921.699219,54537.398438,2777
2019-06-21,54850.000000,55199.898438,54450.000000,54922.398438,54538.085938,3125
2019-06-24,54600.000000,55089.949219,54555.250000,54660.699219,54278.218750,5044
2019-06-25,55050.000000,56338.648438,54498.949219,55552.898438,55164.175781,13088
2019-06-26,55300.000000,56350.000000,55249.000000,56094.750000,55702.238281,5529
2019-06-27,56092.000000,56900.000000,56092.000000,56501.949219,56106.585938,7335
2019-06-28,56799.000000,56800.000000,56346.851563,56609.601563,56213.488281,6063
2019-07-01,56840.000000,57147.949219,56513.000000,56758.851563,56361.687500,3293
2019-07-02,56758.851563,56974.199219,56182.000000,56667.601563,56271.082031,3549
2019-07-03,56700.000000,57075.351563,56615.250000,56806.648438,56409.148438,4265
2019-07-04,56810.000000,57000.000000,56301.148438,56539.449219,56143.820313,3757
2019-07-05,56540.000000,56714.101563,55750.000000,56003.148438,55611.277344,3876
2019-07-08,55712.000000,55712.000000,54402.851563,54776.250000,54392.957031,6867
2019-07-09,54893.000000,54900.000000,53980.000000,54571.199219,54189.343750,6050
2019-07-10,54572.000000,55400.000000,54555.550781,55196.898438,54810.667969,5225
2019-07-11,55001.000000,56528.449219,54696.000000,56163.898438,55770.898438,4222
2019-07-12,56148.000000,56291.800781,55680.000000,56074.699219,55682.328125,3806
2019-07-15,55810.000000,56321.550781,55810.000000,56132.398438,55739.613281,4232
2019-07-16,55851.000000,56745.000000,55851.000000,56510.898438,56115.468750,3608
